"","Site","Well","Signal","Value","Experiment","Leaf"
"1","1;2","A1","yfp",2645,"AT2G29080","Set1_Leaf_A"
"2","1;2","A1","mTurquoise",105,"AT2G29080","Set1_Leaf_A"
"3","1;2","A1","mScarlet",541,"AT2G29080","Set1_Leaf_A"
"4","1;2","A1","YB_Ratio",25.1904761904762,"AT2G29080","Set1_Leaf_A"
"5","1;2","A2","yfp",1876,"AT2G29080","Set1_Leaf_A"
"6","1;2","A2","mTurquoise",64,"AT2G29080","Set1_Leaf_A"
"7","1;2","A2","mScarlet",301,"AT2G29080","Set1_Leaf_A"
"8","1;2","A2","YB_Ratio",29.3125,"AT2G29080","Set1_Leaf_A"
"9","1;2","A3","yfp",2281,"AT1G64550","Set1_Leaf_A"
"10","1;2","A3","mTurquoise",92,"AT1G64550","Set1_Leaf_A"
"11","1;2","A3","mScarlet",296,"AT1G64550","Set1_Leaf_A"
"12","1;2","A3","YB_Ratio",24.7934782608696,"AT1G64550","Set1_Leaf_A"
"13","1;2","A4","yfp",3254,"AT1G64550","Set1_Leaf_A"
"14","1;2","A4","mTurquoise",79,"AT1G64550","Set1_Leaf_A"
"15","1;2","A4","mScarlet",285,"AT1G64550","Set1_Leaf_A"
"16","1;2","A4","YB_Ratio",41.1898734177215,"AT1G64550","Set1_Leaf_A"
"17","1;2","A5","yfp",2044,"AT5G06140","Set1_Leaf_A"
"18","1;2","A5","mTurquoise",211,"AT5G06140","Set1_Leaf_A"
"19","1;2","A5","mScarlet",302,"AT5G06140","Set1_Leaf_A"
"20","1;2","A5","YB_Ratio",9.68720379146919,"AT5G06140","Set1_Leaf_A"
"21","1;2","A6","yfp",1995,"AT5G06140","Set1_Leaf_A"
"22","1;2","A6","mTurquoise",182,"AT5G06140","Set1_Leaf_A"
"23","1;2","A6","mScarlet",341,"AT5G06140","Set1_Leaf_A"
"24","1;2","A6","YB_Ratio",10.9615384615385,"AT5G06140","Set1_Leaf_A"
"25","1;2","A7","yfp",1448,"Null_YFP","Set1_Leaf_A"
"26","1;2","A7","mTurquoise",335,"Null_YFP","Set1_Leaf_A"
"27","1;2","A7","mScarlet",326,"Null_YFP","Set1_Leaf_A"
"28","1;2","A7","YB_Ratio",4.32238805970149,"Null_YFP","Set1_Leaf_A"
"29","1;2","A8","yfp",1749,"Null_YFP","Set1_Leaf_A"
"30","1;2","A8","mTurquoise",391,"Null_YFP","Set1_Leaf_A"
"31","1;2","A8","mScarlet",303,"Null_YFP","Set1_Leaf_A"
"32","1;2","A8","YB_Ratio",4.47314578005115,"Null_YFP","Set1_Leaf_A"
"33","1;2","A9","yfp",1791,"AT2G33730","Set1_Leaf_I"
"34","1;2","A9","mTurquoise",77,"AT2G33730","Set1_Leaf_I"
"35","1;2","A9","mScarlet",282,"AT2G33730","Set1_Leaf_I"
"36","1;2","A9","YB_Ratio",23.2597402597403,"AT2G33730","Set1_Leaf_I"
"37","1;2","A10","yfp",1825,"AT2G33730","Set1_Leaf_I"
"38","1;2","A10","mTurquoise",70,"AT2G33730","Set1_Leaf_I"
"39","1;2","A10","mScarlet",308,"AT2G33730","Set1_Leaf_I"
"40","1;2","A10","YB_Ratio",26.0714285714286,"AT2G33730","Set1_Leaf_I"
"41","1;2","A11","yfp",1612,"AT4G13780","Set1_Leaf_I"
"42","1;2","A11","mTurquoise",64,"AT4G13780","Set1_Leaf_I"
"43","1;2","A11","mScarlet",282,"AT4G13780","Set1_Leaf_I"
"44","1;2","A11","YB_Ratio",25.1875,"AT4G13780","Set1_Leaf_I"
"45","1;2","A12","yfp",1788,"AT4G13780","Set1_Leaf_I"
"46","1;2","A12","mTurquoise",72,"AT4G13780","Set1_Leaf_I"
"47","1;2","A12","mScarlet",388,"AT4G13780","Set1_Leaf_I"
"48","1;2","A12","YB_Ratio",24.8333333333333,"AT4G13780","Set1_Leaf_I"
"49","1;2","B1","yfp",1731,"AT2G29080","Set1_Leaf_B"
"50","1;2","B1","mTurquoise",33,"AT2G29080","Set1_Leaf_B"
"51","1;2","B1","mScarlet",315,"AT2G29080","Set1_Leaf_B"
"52","1;2","B1","YB_Ratio",52.4545454545455,"AT2G29080","Set1_Leaf_B"
"53","1;2","B2","yfp",1759,"AT2G29080","Set1_Leaf_B"
"54","1;2","B2","mTurquoise",39,"AT2G29080","Set1_Leaf_B"
"55","1;2","B2","mScarlet",316,"AT2G29080","Set1_Leaf_B"
"56","1;2","B2","YB_Ratio",45.1025641025641,"AT2G29080","Set1_Leaf_B"
"57","1;2","B3","yfp",3465,"AT1G64550","Set1_Leaf_B"
"58","1;2","B3","mTurquoise",62,"AT1G64550","Set1_Leaf_B"
"59","1;2","B3","mScarlet",920,"AT1G64550","Set1_Leaf_B"
"60","1;2","B3","YB_Ratio",55.8870967741936,"AT1G64550","Set1_Leaf_B"
"61","1;2","B4","yfp",3029,"AT1G64550","Set1_Leaf_B"
"62","1;2","B4","mTurquoise",51,"AT1G64550","Set1_Leaf_B"
"63","1;2","B4","mScarlet",349,"AT1G64550","Set1_Leaf_B"
"64","1;2","B4","YB_Ratio",59.3921568627451,"AT1G64550","Set1_Leaf_B"
"65","1;2","B5","yfp",1886,"AT5G06140","Set1_Leaf_B"
"66","1;2","B5","mTurquoise",66,"AT5G06140","Set1_Leaf_B"
"67","1;2","B5","mScarlet",321,"AT5G06140","Set1_Leaf_B"
"68","1;2","B5","YB_Ratio",28.5757575757576,"AT5G06140","Set1_Leaf_B"
"69","1;2","B6","yfp",1994,"AT5G06140","Set1_Leaf_B"
"70","1;2","B6","mTurquoise",41,"AT5G06140","Set1_Leaf_B"
"71","1;2","B6","mScarlet",321,"AT5G06140","Set1_Leaf_B"
"72","1;2","B6","YB_Ratio",48.6341463414634,"AT5G06140","Set1_Leaf_B"
"73","1;2","B7","yfp",1940,"Null_YFP","Set1_Leaf_B"
"74","1;2","B7","mTurquoise",54,"Null_YFP","Set1_Leaf_B"
"75","1;2","B7","mScarlet",312,"Null_YFP","Set1_Leaf_B"
"76","1;2","B7","YB_Ratio",35.9259259259259,"Null_YFP","Set1_Leaf_B"
"77","1;2","B8","yfp",1812,"Null_YFP","Set1_Leaf_B"
"78","1;2","B8","mTurquoise",96,"Null_YFP","Set1_Leaf_B"
"79","1;2","B8","mScarlet",293,"Null_YFP","Set1_Leaf_B"
"80","1;2","B8","YB_Ratio",18.875,"Null_YFP","Set1_Leaf_B"
