"","Site","Well","Signal","Value","Experiment","Leaf"
"1","1;2","A1","yfp",1913,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"2","1;2","A1","mTurquoise",47,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"3","1;2","A1","mScarlet",267,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"4","1;2","A1","YB_Ratio",40.7021276595745,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"5","1;2","A2","yfp",1396,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"6","1;2","A2","mTurquoise",53,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"7","1;2","A2","mScarlet",241,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"8","1;2","A2","YB_Ratio",26.3396226415094,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_A"
"9","1;2","A3","yfp",1779,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"10","1;2","A3","mTurquoise",84,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"11","1;2","A3","mScarlet",317,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"12","1;2","A3","YB_Ratio",21.1785714285714,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"13","1;2","A4","yfp",1844,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"14","1;2","A4","mTurquoise",56,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"15","1;2","A4","mScarlet",307,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"16","1;2","A4","YB_Ratio",32.9285714285714,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_B"
"17","1;2","A5","yfp",1754,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"18","1;2","A5","mTurquoise",42,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"19","1;2","A5","mScarlet",347,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"20","1;2","A5","YB_Ratio",41.7619047619048,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"21","1;2","A6","yfp",1899,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"22","1;2","A6","mTurquoise",71,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"23","1;2","A6","mScarlet",330,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"24","1;2","A6","YB_Ratio",26.7464788732394,"AT3G18480(r3,r6)+gRNA_r5","Set6_Leaf_C"
"25","1;2","A7","yfp",1454,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"26","1;2","A7","mTurquoise",27,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"27","1;2","A7","mScarlet",240,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"28","1;2","A7","YB_Ratio",53.8518518518519,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"29","1;2","A8","yfp",1605,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"30","1;2","A8","mTurquoise",42,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"31","1;2","A8","mScarlet",329,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"32","1;2","A8","YB_Ratio",38.2142857142857,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_D"
"33","1;2","A9","yfp",1350,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"34","1;2","A9","mTurquoise",22,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"35","1;2","A9","mScarlet",204,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"36","1;2","A9","YB_Ratio",61.3636363636364,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"37","1;2","A10","yfp",1484,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"38","1;2","A10","mTurquoise",34,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"39","1;2","A10","mScarlet",313,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"40","1;2","A10","YB_Ratio",43.6470588235294,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_E"
"41","1;2","A11","yfp",1442,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"42","1;2","A11","mTurquoise",38,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"43","1;2","A11","mScarlet",251,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"44","1;2","A11","YB_Ratio",37.9473684210526,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"45","1;2","A12","yfp",1389,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"46","1;2","A12","mTurquoise",45,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"47","1;2","A12","mScarlet",256,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"48","1;2","A12","YB_Ratio",30.8666666666667,"AT3G08530(r7,r5)+gRNA_B+gRNA_E","Set6_Leaf_F"
"49","1;2","B1","yfp",1749,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"50","1;2","B1","mTurquoise",47,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"51","1;2","B1","mScarlet",274,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"52","1;2","B1","YB_Ratio",37.2127659574468,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"53","1;2","B2","yfp",1788,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"54","1;2","B2","mTurquoise",29,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"55","1;2","B2","mScarlet",250,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"56","1;2","B2","YB_Ratio",61.6551724137931,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_A"
"57","1;2","B3","yfp",2310,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"58","1;2","B3","mTurquoise",186,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"59","1;2","B3","mScarlet",248,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"60","1;2","B3","YB_Ratio",12.4193548387097,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"61","1;2","B4","yfp",2014,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"62","1;2","B4","mTurquoise",251,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"63","1;2","B4","mScarlet",293,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
"64","1;2","B4","YB_Ratio",8.02390438247012,"AT3G18480(r3,r6)+gRNA_r3+gRNA_r5","Set6_Leaf_B"
