"AGI","CV","geom_mean","StressCV","TATA","Ypatch","CA","GA","Coreless","exclusive_core_type"
"AT1G01910",0.216749093211381,1361.41382177451,0.300767325680897,0,0,0,1,0,"GA"
"AT1G02130",0.226559669943664,1110.03485656856,0.243907977780384,0,1,0,1,0,"Mix"
"AT1G02145",0.238525372681493,537.466302698738,0.280550472905831,0,0,0,0,1,"Coreless"
"AT1G03365",0.183034124725695,554.64380043982,0.205009727030782,0,1,0,0,0,"YPatch"
"AT1G04080",0.257831448621395,2730.25765965478,0.279096234132727,0,1,0,0,0,"YPatch"
"AT1G04850",0.217349673929883,2461.97575767253,0.325576234912161,0,1,0,0,0,"YPatch"
"AT1G05500",0.245305684615234,1265.11634635163,0.222536491974444,0,1,0,0,0,"YPatch"
"AT1G08750",0.229948204582985,404.024783679234,0.240904041750753,1,0,0,0,0,"TATA"
"AT1G09870",0.258833843766425,913.880625472185,0.229819246287863,0,1,0,0,0,"YPatch"
"AT1G11060",0.206644595447668,497.631631456893,0.202739488373209,0,0,0,0,1,"Coreless"
"AT1G12470",0.177298885463349,1077.25374615296,0.428545295863561,1,0,0,0,0,"TATA"
"AT1G12530",0.251056758143602,364.801967946878,0.292445149829209,0,0,0,0,1,"Coreless"
"AT1G13560",0.23759421033607,1810.95228075682,0.653984633679365,0,1,1,0,0,"Mix"
"AT1G14570",0.248636486243308,1561.93361812743,0.346053965261208,0,1,0,1,0,"Mix"
"AT1G14910",0.229858649357884,927.386405516058,0.420848072203583,1,1,0,0,0,"Mix"
"AT1G17210",0.247679202665603,1834.44559247138,0.26635084331678,0,1,0,1,0,"Mix"
"AT1G17790",0.230005653997934,297.842982344075,0.177715156629998,0,0,0,0,1,"Coreless"
"AT1G18070",0.209919384826122,3557.67128667884,0.326350928726766,1,1,0,0,0,"Mix"
"AT1G18700",0.186549839336076,886.121579119173,0.476444479359294,0,0,0,0,1,"Coreless"
"AT1G20770",0.252457208746063,708.668380287923,0.267334972500024,0,1,0,0,0,"YPatch"
"AT1G25280",0.254808069878828,858.294999597248,0.172185438386611,0,0,0,1,0,"GA"
"AT1G25420",0.245736945720951,611.103556842497,0.307054980016882,0,1,0,0,0,"YPatch"
"AT1G26110",0.191377955928459,4324.04607765459,0.221915695064909,0,1,0,0,0,"YPatch"
"AT1G26170",0.209762112746662,741.598663046255,0.241832024892933,1,0,0,0,0,"TATA"
"AT1G27600",0.208370216972454,820.905459937026,0.200933968370982,0,1,0,0,0,"YPatch"
"AT1G27840",0.182114545381685,429.242257601058,0.505172875670682,0,0,0,0,1,"Coreless"
"AT1G27850",0.232935927687846,955.54633187507,0.331255037647747,0,0,0,1,0,"GA"
"AT1G27900",0.258383981508407,670.425396202646,0.179694996422279,0,0,0,1,0,"GA"
"AT1G31730",0.225285207171472,1921.43792177356,0.165689519068892,0,1,0,0,0,"YPatch"
"AT1G32150",0.255847715494569,360.193124325162,0.204732811845251,1,1,0,0,0,"Mix"
"AT1G44910",0.236168332990082,978.36703621426,0.243639369577041,0,0,0,0,1,"Coreless"
"AT1G45000",0.258883998632602,2869.16508458171,0.181197167280088,0,0,0,0,1,"Coreless"
"AT1G49590",0.24286775660275,506.013706285989,0.358521624674011,0,1,0,0,0,"YPatch"
"AT1G50200",0.223901067894143,4404.62095970577,0.45042945369549,0,0,0,0,1,"Coreless"
"AT1G50500",0.21031590533537,1112.86260676519,0.209485377132993,0,0,0,0,1,"Coreless"
"AT1G50510",0.232841229506226,618.869074643919,0.231660376777332,0,1,0,0,0,"YPatch"
"AT1G51590",0.252176194680919,930.346408476085,0.250246140203505,0,1,0,0,0,"YPatch"
"AT1G52370",0.204926101567568,475.064630767681,0.412380095614561,0,1,0,0,0,"YPatch"
"AT1G52630",0.242178709977335,249.223399755208,0.284793803417737,0,1,0,0,0,"YPatch"
"AT1G52730",0.237199425937264,881.129769187817,0.243837544351136,0,1,0,0,0,"YPatch"
"AT1G54080",0.138365461386477,3252.13057992757,0.196132177890275,1,1,0,1,0,"Mix"
"AT1G54390",0.217939042014364,545.587823984081,0.35289111094439,0,0,0,0,1,"Coreless"
"AT1G54490",0.213069592469939,1481.75691230787,0.252993837274875,0,1,0,0,0,"YPatch"
"AT1G55150",0.251157838509553,523.786246381974,0.446126903692249,0,1,0,0,0,"YPatch"
"AT1G55750",0.234108150902818,413.690081573634,0.219953044286934,1,0,0,0,0,"TATA"
"AT1G58060",0.196570309321596,774.626864971241,0.162039853915474,0,0,0,1,0,"GA"
"AT1G60220",0.257137848743245,689.962984156265,0.190308994332744,0,1,0,1,0,"Mix"
"AT1G60670",0.243686444399803,345.224988351535,0.291583605317894,0,1,0,0,0,"YPatch"
"AT1G60900",0.253854582534632,1697.93561732165,0.325870078162306,1,1,0,0,0,"Mix"
"AT1G61150",0.187526901647286,1045.98778931345,0.237548649493146,0,1,0,0,0,"YPatch"
"AT1G64550",0.23089015189048,1595.88120382608,0.297679588273106,0,1,0,0,0,"YPatch"
"AT1G64990",0.214650795211893,824.995575969359,0.538036833085327,0,0,0,0,1,"Coreless"
"AT1G65270",0.254469748136429,1686.98936010483,0.253283165738869,0,1,0,0,0,"YPatch"
"AT1G66340",0.248918049562367,677.086964463528,0.19468156600396,0,1,0,1,0,"Mix"
